NC_025341.1,NC_025356.1,64.735,2433,553,192,5532,7810,5566,7847,7.36e-102,371
NC_025341.1,NC_002803.1,65.123,2030,462,144,5532,7435,5487,7396,7.82e-98,357
NC_025341.1,NC_025371.1,63.846,2954,712,226,5751,8523,5774,8552,1.72e-96,353
NC_025341.1,NC_008514.1,67.363,1388,285,107,5753,7056,6190,7493,1.06e-94,347
NC_025341.1,NC_025353.1,66.471,1533,331,107,5731,7171,5704,7145,1.06e-94,347
NC_025361.1,NC_025407.1,65.367,3745,857,276,10477,14016,10504,14013,0.0,665
NC_025361.1,NC_025347.1,63.757,3380,743,276,10846,14020,9488,12590,7.06e-117,421
NC_025361.1,NC_025343.1,63.429,1668,331,161,10875,12429,9686,11187,7.38e-45,182
NC_025361.1,NC_005036.1,66.996,709,153,47,11853,12521,10301,10968,4.54e-43,176
NC_025361.1,NC_025404.1,64.243,1169,210,112,11337,12431,10190,11224,1.27e-42,175
NC_025374.1,NC_025407.1,64.107,4154,981,326,9368,13251,10899,14812,1.39e-149,530
NC_025374.1,NC_025347.1,64.799,3301,766,257,9367,12470,9507,12608,1.57e-141,503
NC_025374.1,NC_007620.1,65.421,1284,276,110,9367,10557,9724,10932,5.48e-57,222
NC_025374.1,NC_025348.1,64.514,1378,296,118,9376,10649,9649,10937,1.00e-50,201
NC_025374.1,NC_025363.1,62.474,2369,499,227,9367,11561,9571,11723,8.87e-42,172
NC_025382.1,NC_011532.1,66.332,199,43,13,8342,8532,7928,8110,2.94e-04,47.4
NC_025382.1,NC_018381.2,70.732,123,25,9,8397,8516,8518,8632,8.24e-04,45.9
NC_025382.1,NC_016994.1,77.966,59,6,5,7538,7593,7719,7773,0.051,40.0
NC_025382.1,NC_007642.1,71.429,77,10,4,8405,8475,7887,7957,0.14,38.5
NC_025382.1,NC_020803.1,73.611,72,14,3,8725,8792,7065,7135,0.14,38.5
NC_025410.1,NC_025404.1,67.355,6344,1417,400,8993,15006,8609,14628,0.0,1628
NC_025410.1,NC_025348.1,66.018,6939,1604,476,8993,15563,8555,15107,0.0,1408
NC_025410.1,NC_025403.1,66.462,6351,1480,410,8981,15016,8725,14740,0.0,1402
NC_025410.1,NC_025343.1,67.077,5367,1247,320,9688,14797,9280,14383,0.0,1323
NC_025410.1,NC_025350.1,67.250,5316,1219,350,9689,14746,9035,14086,0.0,1301
NC_025676.1,NC_019712.1,69.685,8824,1937,424,1,8489,1,8421,0.0,3095
